产品ID,SKU,产品名称,数据类型,项目,值
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Color,Black/Red
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Weight Range,2.5-25KG each
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Increment,2.5KG
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Total Weight,50KG set
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Grip Length,15CM
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Coating,Rubber
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Left Dumbbell,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Right Dumbbell,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Weight Plates x 40,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Lock Collars x 4,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Storage Rack,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Exercise Guide,
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Quick Adjust,2 second change
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Compact Storage,60% less space
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Versatile,Full body workout
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Safe Lock,No accidental drops
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Home Friendly,Perfect for apartments
23,PROD-S006,Adjustable Dumbbell Set,适配尺寸,Single Dumbbell,25 x 15 x 15 CM
23,PROD-S006,Adjustable Dumbbell Set,适配尺寸,Storage Rack,60 x 30 x 50 CM
23,PROD-S006,Adjustable Dumbbell Set,适配尺寸,Bar Diameter,30MM

7,PROD-S007,Treadmill Running Machine,核心卖点,Powerful Motor,3.0HP Peak
7,PROD-S007,Treadmill Running Machine,核心卖点,Shock Absorption,Joint Protection
7,PROD-S007,Treadmill Running Machine,核心卖点,LED Display,Clear Metrics
7,PROD-S007,Treadmill Running Machine,核心卖点,Foldable Design,Space Saving
7,PROD-S007,Treadmill Running Machine,产品规格,Type,Treadmill
7,PROD-S007,Treadmill Running Machine,产品规格,Running Surface,120 x 45 CM
7,PROD-S007,Treadmill Running Machine,产品规格,Speed Range,0.8-16 KM/H
7,PROD-S007,Treadmill Running Machine,产品规格,Incline,0-15%
7,PROD-S007,Treadmill Running Machine,产品规格,Motor Power,1.5HP Continuous
7,PROD-S007,Treadmill Running Machine,产品规格,Weight Capacity,130KG
7,PROD-S007,Treadmill Running Machine,产品规格,Console,6 Inch LCD
7,PROD-S007,Treadmill Running Machine,产品规格,Programs,36 Preset
7,PROD-S007,Treadmill Running Machine,包装清单,Treadmill Unit,
7,PROD-S007,Treadmill Running Machine,包装清单,Console Panel,
7,PROD-S007,Treadmill Running Machine,包装清单,Safety Key,
7,PROD-S007,Treadmill Running Machine,包装清单,Silicone Oil,
7,PROD-S007,Treadmill Running Machine,包装清单,Assembly Kit,
7,PROD-S007,Treadmill Running Machine,包装清单,User Manual,
7,PROD-S007,Treadmill Running Machine,包装清单,Warranty Card,
7,PROD-S007,Treadmill Running Machine,包装清单,Heart Rate Sensor,
24,PROD-S007,Treadmill Running Machine,功能亮点,Speed Control,Key or touch
24,PROD-S007,Treadmill Running Machine,功能亮点,Incline Adjust,Button control
24,PROD-S007,Treadmill Running Machine,功能亮点,Heart Rate,Hand grip sensors
24,PROD-S007,Treadmill Running Machine,功能亮点,Auto Lubrication,Self-maintaining
24,PROD-S007,Treadmill Running Machine,功能亮点,Safety Stop,Emergency button
24,PROD-S007,Treadmill Running Machine,适配尺寸,Folded Size,80 x 70 x 150 CM
24,PROD-S007,Treadmill Running Machine,适配尺寸,Running Belt,120 x 45 CM
24,PROD-S007,Treadmill Running Machine,适配尺寸,Console Height,150 CM
